                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94134,                0.76808,                 1.4559,                0.91917,                0.94978,                0.95647,                0.80539,                0.65257,                0.51836,                 1.2534,                0.00052,                0.00052,                0.00052
                      2,                 1.0066,                0.72542,                 1.5156,                0.91585,                0.93353,                0.94888,                0.74193,                0.80509,                0.59206,                 1.3882,              0.0010425,              0.0010425,              0.0010425
                      3,                 1.0329,                0.76055,                 1.5373,                0.88968,                0.95485,                0.97217,                0.76533,                0.80726,                0.64826,                 1.3811,              0.0015472,              0.0015472,              0.0015472
                      4,                0.99959,                0.74373,                 1.5055,                0.88987,                0.94849,                 0.9231,                0.74455,                 0.7468,                0.66194,                 1.3292,               0.001901,               0.001901,               0.001901
                      5,                 1.0348,                0.74028,                  1.533,                0.90811,                0.95485,                0.96376,                 0.7808,                0.77349,                0.68344,                  1.347,               0.001868,               0.001868,               0.001868
                      6,                 1.0679,                0.76949,                 1.5688,                 0.9035,                 0.9526,                0.94959,                0.77748,                0.76824,                0.64836,                 1.3597,               0.001835,               0.001835,               0.001835
                      7,                 1.0527,                0.72785,                 1.5564,                0.86893,                0.95776,                 0.9373,                0.75354,                0.73689,                0.64328,                 1.3271,               0.001802,               0.001802,               0.001802
                      8,                  1.024,                0.76908,                 1.5237,                0.89713,                0.94494,                0.95949,                0.78108,                0.72578,                0.75943,                 1.3258,               0.001769,               0.001769,               0.001769
                      9,                 1.0395,                0.76874,                 1.5455,                0.89677,                 0.9526,                0.95708,                0.80509,                0.70993,                0.65519,                 1.2855,               0.001736,               0.001736,               0.001736
                     10,                 1.1109,                0.78337,                  1.572,                0.88774,                0.92551,                 0.9514,                0.79356,                0.70634,                0.66468,                 1.2793,               0.001703,               0.001703,               0.001703
                     11,                 1.0473,                0.74909,                 1.5504,                0.90769,                 0.9545,                0.95326,                0.78462,                0.73833,                0.63683,                 1.3211,                0.00167,                0.00167,                0.00167
                     12,                 0.9712,                0.70672,                  1.495,                0.92149,                0.94357,                 0.9479,                0.78646,                0.69907,                0.60012,                  1.284,               0.001637,               0.001637,               0.001637
                     13,                  1.048,                0.74267,                 1.5599,                0.91209,                0.95711,                0.97888,                0.80598,                0.74044,                0.58887,                 1.3211,               0.001604,               0.001604,               0.001604
                     14,                 1.0155,                0.72171,                 1.5398,                0.92156,                0.94357,                0.97281,                 0.7926,                0.76247,                0.59444,                 1.3424,               0.001571,               0.001571,               0.001571
                     15,                  1.011,                0.72085,                 1.5143,                0.90385,                0.95492,                0.95464,                0.79573,                0.69081,                0.60693,                 1.2653,               0.001538,               0.001538,               0.001538
                     16,                 1.0115,                0.72047,                  1.508,                 0.9056,                0.95034,                  0.943,                0.74484,                0.78985,                0.67246,                 1.3591,               0.001505,               0.001505,               0.001505
                     17,                 1.0072,                0.70611,                 1.5233,                0.90962,                 0.9526,                0.96397,                 0.7747,                0.79434,                0.64448,                  1.389,               0.001472,               0.001472,               0.001472
                     18,                 1.0654,                0.74947,                 1.5558,                0.88933,                0.97952,                0.96217,                0.79959,                  0.714,                0.56732,                 1.2945,               0.001439,               0.001439,               0.001439
                     19,                0.99753,                  0.702,                 1.5013,                0.92162,                0.95551,                0.96978,                0.79987,                0.72971,                0.56458,                  1.307,               0.001406,               0.001406,               0.001406
                     20,                0.98879,                0.69812,                 1.4981,                0.87793,                0.94131,                0.94952,                 0.7721,                0.74547,                0.61944,                 1.3025,               0.001373,               0.001373,               0.001373
                     21,                0.98202,                0.69825,                 1.4857,                 0.8928,                0.95485,                0.97254,                0.77818,                0.79817,                 0.6041,                 1.3659,                0.00134,                0.00134,                0.00134
                     22,                0.99123,                0.70964,                 1.4936,                0.91349,                 0.9684,                0.93943,                0.78345,                0.67331,                0.55891,                 1.2601,               0.001307,               0.001307,               0.001307
                     23,                0.98321,                0.70328,                 1.5024,                0.91761,                0.96614,                0.97496,                0.82204,                0.68019,                0.54197,                 1.2836,               0.001274,               0.001274,               0.001274
                     24,                0.97659,                0.69553,                 1.4879,                0.85543,                 0.9526,                0.93917,                0.77649,                0.67646,                0.59002,                 1.2546,               0.001241,               0.001241,               0.001241
                     25,                0.93265,                0.66237,                 1.4615,                0.88364,                0.97714,                0.96633,                0.80423,                0.67845,                0.58671,                 1.2579,               0.001208,               0.001208,               0.001208
                     26,                0.92986,                0.66189,                  1.469,                0.92059,                0.96614,                0.97287,                0.81645,                0.68226,                0.54023,                 1.2562,               0.001175,               0.001175,               0.001175
                     27,                0.91975,                0.65422,                 1.4559,                0.88737,                0.96038,                0.96615,                0.80087,                0.70746,                0.52899,                 1.2823,               0.001142,               0.001142,               0.001142
                     28,                0.95365,                0.65402,                 1.4764,                0.87392,                 0.9684,                0.95703,                0.79057,                0.70491,                 0.5905,                 1.2789,               0.001109,               0.001109,               0.001109
                     29,                0.94161,                0.65274,                 1.4605,                0.90367,                0.93905,                0.95372,                0.78825,                0.68247,                0.54639,                 1.2587,               0.001076,               0.001076,               0.001076
                     30,                0.96481,                0.66297,                 1.4844,                0.92165,                0.95592,                0.96604,                0.81543,                0.66386,                0.52785,                 1.2231,               0.001043,               0.001043,               0.001043
                     31,                0.96775,                0.69969,                 1.4743,                0.89688,                0.96388,                0.94177,                0.78611,                0.66467,                0.55922,                 1.2468,                0.00101,                0.00101,                0.00101
                     32,                0.90136,                0.63092,                 1.4354,                0.90701,                0.96881,                0.96509,                0.81856,                0.64799,                0.49049,                 1.2381,               0.000977,               0.000977,               0.000977
                     33,                 0.9511,                0.66091,                 1.4605,                0.91999,                0.95937,                0.97454,                0.82995,                 0.6441,                0.49944,                 1.2308,               0.000944,               0.000944,               0.000944
                     34,                0.91811,                0.64758,                 1.4455,                0.92558,                0.95455,                0.96779,                0.81082,                0.69055,                0.50215,                  1.265,               0.000911,               0.000911,               0.000911
                     35,                 0.9481,                0.66688,                 1.4611,                0.92143,                0.96388,                0.97142,                0.83121,                0.62581,                0.49269,                 1.1991,               0.000878,               0.000878,               0.000878
                     36,                0.90928,                0.64097,                 1.4377,                0.91367,                 0.9556,                0.96518,                0.81832,                0.65937,                0.49854,                 1.2298,               0.000845,               0.000845,               0.000845
                     37,                0.90684,                0.64071,                 1.4432,                0.91938,                0.95711,                0.97044,                0.82469,                0.63653,                0.50913,                 1.2117,               0.000812,               0.000812,               0.000812
                     38,                 0.8814,                0.63824,                  1.414,                0.91091,                0.95034,                0.96805,                0.82622,                0.64364,                0.50657,                 1.2229,               0.000779,               0.000779,               0.000779
                     39,                0.90006,                0.62898,                 1.4242,                0.91644,                0.96559,                0.97223,                0.83029,                 0.6114,                0.45654,                 1.1945,               0.000746,               0.000746,               0.000746
                     40,                0.89125,                0.62995,                 1.4225,                 0.9299,                0.95828,                0.97429,                0.83981,                0.60258,                0.47571,                 1.1822,               0.000713,               0.000713,               0.000713
                     41,                0.87633,                0.61614,                 1.4207,                0.92585,                0.96388,                0.98012,                0.83455,                0.63831,                0.47677,                 1.2127,                0.00068,                0.00068,                0.00068
                     42,                0.90084,                 0.6394,                 1.4445,                0.92167,                0.95625,                 0.9765,                0.83572,                0.63682,                  0.497,                 1.2026,               0.000647,               0.000647,               0.000647
                     43,                0.87646,                 0.6262,                 1.4119,                0.90879,                0.96163,                0.96018,                0.82307,                0.61155,                0.50498,                 1.1788,               0.000614,               0.000614,               0.000614
                     44,                0.83134,                0.61025,                 1.3823,                0.92433,                0.96508,                0.96897,                0.82852,                0.60755,                  0.473,                 1.1852,               0.000581,               0.000581,               0.000581
                     45,                0.89408,                0.63614,                 1.4165,                0.93282,                 0.9684,                0.97472,                0.82873,                0.63603,                 0.5101,                 1.2059,               0.000548,               0.000548,               0.000548
                     46,                 0.8316,                0.58968,                 1.3872,                0.93046,                0.96649,                0.97745,                0.83672,                0.63442,                0.47552,                 1.2059,               0.000515,               0.000515,               0.000515
                     47,                0.82886,                0.59155,                 1.3843,                0.92279,                0.97517,                0.97814,                0.84964,                0.60298,                 0.4709,                 1.1765,               0.000482,               0.000482,               0.000482
                     48,                0.83421,                0.58136,                  1.399,                0.92683,                 0.9684,                0.97397,                0.84065,                 0.6197,                0.46296,                 1.1944,               0.000449,               0.000449,               0.000449
                     49,                0.84821,                0.60184,                 1.3992,                0.92275,                0.97291,                0.96649,                0.84099,                0.59493,                0.46475,                 1.1708,               0.000416,               0.000416,               0.000416
                     50,                0.82565,                0.57855,                 1.3713,                0.91525,                0.97291,                 0.9719,                0.84238,                0.58529,                 0.4508,                 1.1626,               0.000383,               0.000383,               0.000383
                     51,                0.61063,                0.59575,                 1.1971,                0.92447,                0.96706,                0.97945,                0.85596,                0.58322,                0.44396,                 1.1618,                0.00035,                0.00035,                0.00035
                     52,                0.61894,                 0.5304,                 1.2016,                0.93241,                0.96614,                0.98081,                0.85643,                0.58641,                0.43333,                 1.1692,               0.000317,               0.000317,               0.000317
                     53,                0.59959,                0.49677,                 1.1765,                0.93678,                0.96995,                0.97719,                0.85775,                0.58922,                0.43345,                 1.1625,               0.000284,               0.000284,               0.000284
                     54,                0.60797,                0.49636,                 1.1948,                0.93898,                0.97258,                0.98172,                0.86862,                0.57459,                0.41145,                 1.1582,               0.000251,               0.000251,               0.000251
                     55,                0.60889,                0.49174,                 1.1857,                0.94455,                0.96163,                0.98361,                0.86557,                0.57442,                 0.4149,                 1.1581,               0.000218,               0.000218,               0.000218
                     56,                0.58683,                0.45552,                 1.1704,                 0.9353,                 0.9684,                0.98512,                0.86953,                0.56401,                0.40427,                 1.1477,               0.000185,               0.000185,               0.000185
                     57,                 0.5696,                0.48451,                 1.1519,                0.93699,                0.97065,                0.98498,                0.87701,                0.55225,                0.39868,                 1.1363,               0.000152,               0.000152,               0.000152
                     58,                0.58432,                0.46692,                   1.18,                0.93997,                0.97065,                0.98434,                0.87077,                0.56626,                0.39704,                 1.1476,               0.000119,               0.000119,               0.000119
                     59,                0.56068,                0.45284,                 1.1545,                0.93138,                0.98049,                0.98361,                0.87655,                0.55382,                0.39692,                 1.1348,                8.6e-05,                8.6e-05,                8.6e-05
                     60,                 0.5566,                0.47032,                 1.1416,                0.93135,                0.98004,                0.98501,                 0.8755,                0.55129,                0.39477,                 1.1331,                5.3e-05,                5.3e-05,                5.3e-05
