                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.2837,                 1.6502,                 2.7421,                0.52996,                0.12887,                0.32082,                0.14768,                 2.3646,                  2.548,                 3.3051,               0.000878,               0.000878,               0.000878
                     36,                 2.2013,                  1.617,                 2.6669,                0.58125,                0.34286,                0.35411,                0.17531,                  2.343,                 2.4466,                 3.1989,               0.000845,               0.000845,               0.000845
                     37,                 2.1943,                 1.9021,                 2.8634,                0.56701,                0.34286,                0.39768,                0.20069,                 2.3983,                  2.266,                 3.0244,               0.000812,               0.000812,               0.000812
                     38,                 2.3171,                 1.8425,                 2.9022,                0.75405,                0.32857,                0.43447,                 0.2324,                 2.4186,                 2.5903,                 2.9521,               0.000779,               0.000779,               0.000779
                     39,                  2.252,                 1.5851,                 2.6963,                0.45277,                    0.5,                0.46132,                0.21705,                  2.441,                 2.9062,                 2.9989,               0.000746,               0.000746,               0.000746
                     40,                 2.0795,                 1.7484,                 2.6507,                0.60635,                0.39614,                0.45233,                0.18295,                 2.3977,                 2.4278,                 3.0066,               0.000713,               0.000713,               0.000713
                     41,                 2.1984,                 1.6761,                 2.6943,                0.52051,                0.44286,                0.37214,                0.15797,                 2.3172,                 2.3707,                 2.9876,                0.00068,                0.00068,                0.00068
                     42,                 2.2487,                 1.6683,                 2.6709,                0.52928,                0.42857,                0.40133,                0.18302,                 2.1806,                 2.4059,                 2.8916,               0.000647,               0.000647,               0.000647
                     43,                 2.0796,                 1.5512,                 2.5903,                0.58863,                0.45714,                0.42088,                0.20096,                 2.0696,                 2.2577,                 2.8444,               0.000614,               0.000614,               0.000614
                     44,                 2.0612,                 1.5827,                 2.6097,                0.54148,                0.47143,                0.43521,                0.20489,                 2.0611,                 1.9939,                 2.8895,               0.000581,               0.000581,               0.000581
                     45,                 2.0227,                 1.5677,                 2.5777,                0.63669,                0.52857,                0.51351,                0.24289,                 2.0764,                 1.9311,                 2.9404,               0.000548,               0.000548,               0.000548
                     46,                 2.1872,                 1.5907,                 2.6624,                 0.6186,                0.52857,                0.57194,                0.29818,                 2.0533,                 1.9071,                 2.8883,               0.000515,               0.000515,               0.000515
