                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3598,                 1.0131,                 1.8237,                0.88846,                0.83221,                0.90215,                0.64518,                0.98272,                0.84218,                 1.4912,               0.000878,               0.000878,               0.000878
                     36,                 1.2621,                0.98803,                 1.7908,                0.84933,                0.90796,                0.91543,                0.67214,                 1.0174,                 0.8436,                 1.4865,               0.000845,               0.000845,               0.000845
                     37,                 1.4656,                 1.0056,                 1.8842,                0.84875,                 0.9396,                0.93506,                0.68706,                 1.0355,                0.75055,                 1.5217,               0.000812,               0.000812,               0.000812
                     38,                 1.4051,                 1.0355,                 1.8693,                0.90864,                0.86776,                0.93884,                0.68562,                  1.044,                0.73775,                 1.5537,               0.000779,               0.000779,               0.000779
                     39,                 1.1942,                0.95083,                 1.7515,                0.91694,                0.87248,                0.94685,                0.72913,                0.90217,                0.74293,                 1.4401,               0.000746,               0.000746,               0.000746
                     40,                 1.2913,                0.92355,                 1.7429,                0.84924,                0.91275,                 0.9162,                0.68542,                0.88585,                0.80535,                  1.432,               0.000713,               0.000713,               0.000713
                     41,                 1.2983,                0.95642,                 1.7929,                0.87305,                0.91946,                0.92591,                0.69331,                  0.913,                0.80374,                 1.4247,                0.00068,                0.00068,                0.00068
                     42,                 1.2537,                0.94807,                 1.7691,                0.88285,                0.91039,                 0.9346,                0.71032,                0.99206,                0.76136,                 1.4444,               0.000647,               0.000647,               0.000647
                     43,                 1.3755,                0.99944,                  1.875,                0.89287,                0.89933,                0.94156,                0.71506,                 0.9827,                0.72657,                 1.4376,               0.000614,               0.000614,               0.000614
                     44,                 1.2138,                0.92422,                   1.74,                0.86693,                0.91821,                0.93485,                0.70398,                0.87419,                0.72554,                 1.4058,               0.000581,               0.000581,               0.000581
                     45,                 1.2993,                  1.031,                 1.7925,                0.88484,                0.90604,                0.93506,                0.70508,                0.87623,                0.73328,                 1.3924,               0.000548,               0.000548,               0.000548
                     46,                 1.2219,                0.94211,                 1.7512,                0.88323,                0.91275,                0.94178,                0.71902,                0.89249,                0.73603,                 1.3895,               0.000515,               0.000515,               0.000515
                     47,                 1.2887,                0.93284,                 1.7262,                0.88565,                0.90604,                0.94328,                0.71787,                0.89517,                 0.7339,                 1.3783,               0.000482,               0.000482,               0.000482
                     48,                  1.219,                0.88897,                 1.7171,                0.91186,                0.90264,                 0.9517,                0.73125,                0.84562,                0.65829,                 1.3499,               0.000449,               0.000449,               0.000449
                     49,                 1.2152,                0.91488,                 1.7634,                0.91802,                0.89933,                 0.9569,                0.75624,                0.81174,                0.64728,                 1.3285,               0.000416,               0.000416,               0.000416
                     50,                   1.16,                0.90052,                    1.7,                0.89709,                 0.9396,                 0.9588,                0.76006,                0.82995,                0.65235,                 1.3404,               0.000383,               0.000383,               0.000383
                     51,                 1.0472,                 1.1582,                  1.607,                 0.8975,                 0.9396,                0.96078,                0.74019,                0.89156,                0.66471,                 1.3774,                0.00035,                0.00035,                0.00035
                     52,                0.99701,                0.96429,                 1.5644,                0.88523,                0.95973,                0.96021,                0.72859,                0.96265,                0.70369,                 1.4339,               0.000317,               0.000317,               0.000317
                     53,                0.92303,                0.91742,                 1.5295,                0.89998,                 0.9396,                0.95498,                0.73871,                0.91807,                0.70603,                 1.4186,               0.000284,               0.000284,               0.000284
                     54,                 1.0202,                0.97869,                 1.5736,                0.90814,                0.92886,                0.95264,                0.72963,                0.88255,                0.69528,                 1.4111,               0.000251,               0.000251,               0.000251
                     55,                 1.0089,                 1.0601,                 1.5928,                0.90187,                0.92617,                0.94881,                0.71401,                 0.8982,                0.72157,                 1.4183,               0.000218,               0.000218,               0.000218
                     56,                0.94923,                0.86231,                 1.5099,                0.88261,                0.95874,                 0.9534,                0.75142,                0.84669,                0.66256,                 1.3694,               0.000185,               0.000185,               0.000185
                     57,                0.82345,                0.88933,                 1.4463,                0.88975,                0.95302,                0.95989,                0.76856,                0.80401,                0.63959,                 1.3506,               0.000152,               0.000152,               0.000152
                     58,                 0.8917,                0.79384,                  1.516,                0.89591,                0.95302,                0.96216,                0.77793,                0.78004,                0.62273,                 1.3431,               0.000119,               0.000119,               0.000119
                     59,                0.75551,                0.87708,                 1.2723,                0.89266,                0.95302,                0.96392,                0.77913,                0.77767,                0.61694,                 1.3353,                8.6e-05,                8.6e-05,                8.6e-05
                     60,                0.92464,                0.84607,                 1.4971,                0.91821,                0.94631,                0.96652,                0.77396,                0.78331,                0.60153,                   1.33,                5.3e-05,                5.3e-05,                5.3e-05
