                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2645,                0.99546,                 1.7411,                0.89868,                0.94639,                0.95342,                0.74659,                 0.8883,                0.83531,                 1.5285,                0.00046,                0.00046,                0.00046
                      2,                 1.2612,                0.97134,                 1.7723,                0.90067,                0.94501,                0.95136,                0.70413,                 1.0458,                0.84326,                 1.6443,             0.00092449,             0.00092449,             0.00092449
                      3,                 1.3069,                0.96843,                 1.7862,                0.86702,                0.92308,                0.90149,                0.66475,                 0.9898,                0.85686,                 1.6087,              0.0013731,              0.0013731,              0.0013731
                      4,                 1.2733,                 0.9529,                 1.7618,                0.81873,                 0.9302,                0.86642,                0.60285,                 1.0916,                 1.0387,                 1.6492,               0.001806,               0.001806,               0.001806
                      5,                 1.2622,                0.93845,                 1.7571,                0.89709,                0.93015,                0.93641,                0.72042,                0.92322,                0.82657,                 1.5245,               0.001868,               0.001868,               0.001868
                      6,                 1.2968,                0.94253,                 1.7755,                0.89142,                0.93708,                0.91432,                 0.6418,                 1.0761,                0.80342,                 1.6159,               0.001835,               0.001835,               0.001835
                      7,                 1.3637,                0.97427,                  1.807,                0.83236,                0.91811,                0.90568,                 0.6455,                 1.0934,                 1.0876,                 1.7159,               0.001802,               0.001802,               0.001802
                      8,                 1.2502,                0.94264,                 1.7508,                0.82523,                0.92804,                0.90461,                0.70237,                0.86612,                0.93498,                 1.4824,               0.001769,               0.001769,               0.001769
                      9,                  1.198,                0.88103,                 1.6994,                0.89178,                0.92019,                0.94637,                0.75379,                0.82186,                0.94771,                  1.427,               0.001736,               0.001736,               0.001736
                     10,                 1.1449,                 0.8573,                 1.6627,                0.91015,                0.88337,                0.92762,                0.70878,                0.95311,                 1.0011,                 1.5573,               0.001703,               0.001703,               0.001703
                     11,                 1.1353,                0.83181,                 1.6413,                0.93437,                 0.9206,                0.95816,                0.73572,                0.94966,                 0.8316,                 1.5225,                0.00167,                0.00167,                0.00167
                     12,                 1.1623,                0.85704,                 1.6703,                0.90211,                0.93052,                0.95963,                0.78508,                0.78556,                0.91342,                 1.4304,               0.001637,               0.001637,               0.001637
                     13,                 1.1321,                0.83919,                 1.6276,                0.89956,                0.93335,                0.95555,                0.75019,                0.85117,                0.73497,                 1.4496,               0.001604,               0.001604,               0.001604
                     14,                 1.1791,                0.83113,                 1.6768,                 0.8963,                0.94541,                0.96789,                0.79195,                0.80805,                0.70952,                 1.3836,               0.001571,               0.001571,               0.001571
                     15,                 1.1469,                0.84254,                 1.6607,                0.86906,                0.93872,                0.91939,                0.72785,                0.80897,                 1.0031,                 1.3935,               0.001538,               0.001538,               0.001538
                     16,                 1.1134,                0.81067,                 1.6129,                0.82599,                0.93049,                0.88427,                0.68974,                0.82082,                 0.8796,                 1.4373,               0.001505,               0.001505,               0.001505
                     17,                 1.0666,                0.78436,                 1.6045,                0.91949,                0.92556,                0.96015,                0.78479,                0.76701,                0.70384,                  1.376,               0.001472,               0.001472,               0.001472
                     18,                  1.101,                0.82355,                 1.6189,                 0.9177,                0.91811,                0.93109,                0.75674,                0.76398,                0.71403,                 1.3904,               0.001439,               0.001439,               0.001439
                     19,                  1.082,                0.79332,                 1.5713,                0.90731,                0.92299,                0.95141,                0.76632,                0.79829,                0.66817,                 1.3781,               0.001406,               0.001406,               0.001406
                     20,                 1.1204,                0.79484,                 1.6039,                0.90525,                0.94828,                0.95163,                0.78322,                0.74094,                0.61299,                 1.3469,               0.001373,               0.001373,               0.001373
                     21,                 1.0683,                0.78346,                 1.5788,                0.91517,                  0.933,                0.95552,                0.77807,                0.74115,                0.63482,                 1.3534,                0.00134,                0.00134,                0.00134
                     22,                 1.0963,                0.78283,                 1.5936,                0.91005,                0.94541,                0.95656,                0.75495,                0.88368,                 0.6302,                 1.4543,               0.001307,               0.001307,               0.001307
                     23,                  1.136,                0.79422,                 1.6248,                0.85985,                0.95909,                0.93428,                0.74157,                0.80233,                0.76484,                  1.376,               0.001274,               0.001274,               0.001274
                     24,                 1.1291,                0.83172,                 1.6333,                 0.9112,                0.93052,                0.96413,                0.79134,                0.76169,                0.62948,                 1.3726,               0.001241,               0.001241,               0.001241
                     25,                 1.1238,                0.81761,                 1.6164,                0.88272,                 0.9603,                0.95088,                0.72395,                0.91745,                0.69882,                 1.5102,               0.001208,               0.001208,               0.001208
                     26,                 1.0964,                0.76107,                  1.604,                0.91393,                0.94861,                0.95361,                0.76271,                0.79322,                0.60096,                  1.398,               0.001175,               0.001175,               0.001175
                     27,                  1.046,                0.77496,                 1.5521,                0.90579,                 0.9543,                0.96984,                0.81171,                0.70675,                0.58658,                 1.2989,               0.001142,               0.001142,               0.001142
                     28,                  1.034,                0.74854,                 1.5537,                0.90785,                0.92899,                0.95215,                0.77636,                   0.74,                0.65356,                 1.3277,               0.001109,               0.001109,               0.001109
                     29,                 1.0152,                0.75962,                 1.5312,                0.90623,                0.93523,                0.96141,                0.79347,                 0.7443,                0.60741,                 1.3332,               0.001076,               0.001076,               0.001076
                     30,                 1.0299,                0.77536,                  1.541,                0.91079,                0.95285,                 0.9715,                0.81857,                0.71337,                 0.6181,                 1.2846,               0.001043,               0.001043,               0.001043
                     31,                 1.0208,                0.74016,                 1.5331,                0.88849,                0.94899,                0.93936,                0.78629,                0.65654,                 0.6133,                 1.2671,                0.00101,                0.00101,                0.00101
                     32,                0.99455,                0.72255,                 1.5104,                0.88759,                0.92084,                0.93875,                0.74663,                0.76651,                0.63709,                 1.3632,               0.000977,               0.000977,               0.000977
                     33,                0.99912,                0.75455,                 1.5196,                0.91281,                0.93523,                0.96454,                0.80809,                0.68354,                0.59013,                 1.2731,               0.000944,               0.000944,               0.000944
                     34,                0.99148,                0.74822,                 1.5155,                0.91185,                0.94541,                0.95751,                0.79203,                0.68757,                0.56564,                 1.2805,               0.000911,               0.000911,               0.000911
                     35,                0.95623,                0.70974,                  1.491,                0.90264,                0.96278,                0.95545,                0.78337,                0.73263,                0.55663,                 1.3202,               0.000878,               0.000878,               0.000878
                     36,                0.97779,                0.68754,                 1.5132,                0.91051,                0.95943,                0.97423,                0.81603,                0.70254,                0.54861,                 1.2974,               0.000845,               0.000845,               0.000845
                     37,                0.99377,                0.72685,                 1.5143,                0.89057,                0.94541,                0.95915,                0.79585,                0.71481,                0.61551,                 1.3367,               0.000812,               0.000812,               0.000812
                     38,                0.97917,                0.71427,                 1.5151,                0.90272,                 0.9603,                0.95872,                 0.8109,                0.66196,                0.56917,                 1.2639,               0.000779,               0.000779,               0.000779
                     39,                0.99895,                0.70892,                   1.52,                0.89537,                0.93797,                0.95091,                0.79614,                0.66762,                0.58821,                 1.2658,               0.000746,               0.000746,               0.000746
                     40,                 1.0275,                0.71757,                 1.5241,                0.89783,                0.95947,                0.96562,                 0.8008,                0.68762,                0.57505,                 1.2958,               0.000713,               0.000713,               0.000713
                     41,                0.94144,                0.69782,                 1.4727,                0.91361,                0.95285,                  0.969,                0.82164,                0.64407,                0.53336,                 1.2465,                0.00068,                0.00068,                0.00068
